	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
0	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-47412
1	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70261
2	FGT	FGT France Geolink-Modem GPSonde M10 {2010} (31313=47708)  [F=T403DL,P=0,T=TC,U=A,N=GC]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-07645
3	VNW	VNW Vaisala RS92-NGP with InterMet IMS 2000 for NWS {2011} 31313=45208 with BUFR code 152  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,N=Gc]	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-72712
7	J01	J01 Japan Meisei RS-01G GPS radiosonde country solar corr, Ishihara RH corr {2003} 31313=75508  (W3=55) [F=T403.7-405.2DL,P=none,T=TR,U=A,N=GD]	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-47991
10	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72582
11	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-20292
12	V9*	V9* Vaisala RS90 Star radiosonde base case 31313=97499  (W3=74) [F=T403DL,P=Sc,T=Wc,U=2Ah]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-07761
16	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-04018
17	VN6	VN6 Vaisala RS92 Autosonde auto corr, LoRAN wind 31313=48106  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-01241
18	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72649
19	CF	[51|--] VIZ B2 in USA, introduced in 1997 according to ERB2002	51	VIZ-B2 (United States)                	2012-12-30	2013-01-01	0-52-130-78954
21	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-29	2013-01-01	0-20000-0-94672
23	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72305
28	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72265
30	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-29	2013-01-01	0-20000-0-08579
34	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-02	0-20000-0-80001
36	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-16144
37	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	130	Meisei RS-06G (Japan)                            	2012-12-31	2013-01-01	0-20001-0-47909
42	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-12843
43	VCL	VCL Vaisala RS80 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=46106  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-71722
68	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-97014
157	???	??? Unknown instrument category because data is not available for checking 	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-27	2013-03-26	0-20000-0-76405
169	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71926
171	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-30554
180	RZK	RZK Russia MRZ-3A 1780 MHz radiosonde with AVK-ARMA ground station {1997} 31313=57503 (moist)  (W3=75) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-29862
183	RZD	RZD exact type insufficiently documented	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-23330
188	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-28	2013-01-01	0-20001-0-89062
249	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57131
270	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	116	PAZA-22/AVK-1 (Ukraine)                             	2012-12-28	2013-01-02	0-20000-0-33317
382	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-17	2013-01-29	0-20000-0-72291
481	VGR	VGR Vaisala RS80 DigiCORA III auto corr, RDF wind 31313=46702  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ra]	57	Modem M2K2-DC (France)                	2012-12-29	2013-01-01	0-20000-0-62403
500	AH	[52,66,67|--] Vaisala RS80 H-Humicap with dry bias from contamination from packaging (WC+2002  TOGA COARE in late 1992 was first large use of	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91348
504	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	131	Taiyuan GTS1-1/GFE(L) (China )                           	2012-12-31	2013-01-01	0-20001-0-53845
538	V18	V18 Vaisala RS18 hair hygrometer radiosonde {1972} WMO instr=35  (W3=35, T=031) [F=T25,400,1680FR,P=2Ac,T=BRc,U=Hrc]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-29	2013-01-13	0-20000-0-87623
539	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	68	AVK-RZM-2 (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-31873
647	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71909
720	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-34009
733	VNl	VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-28	2013-01-02	0-20000-0-26435
735	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-30715
761	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-14430
773	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-52681
776	C2	"[10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-97372
804	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	117	Graw DFM-09 (Germany)                            	2012-12-30	2013-01-01	0-20000-0-40766
856	VCO	VCO Vaisala RS80 DigiCORA I, II, or Marwin auto corr, optical wind 31313=46101  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=O]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-27	2013-01-02	0-20000-0-60630
876	C1	General VIZ type	57	Modem M2K2-DC (France)                	2012-12-28	2013-01-02	0-20000-0-62378
