	sensor_id	source	comment	date_time	value
124	114	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           		
99	121	WMO	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        		
101	123	WMO	Vaisala RS41/DigiCORA MW41 (Finland)                           		
69	124	WMO	Vaisala RS41/AUTOSONDE (Finland)                            		
126	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
100	57	WMO	Modem M2K2-DC (France)                		
79	67	WMO	Vaisala RS80/Digicora III (Finland)               		
0	80	WMO	Vaisala RS92/Digicora III (Finland)               		
0	VD_ 	SCH	  VD_ Vaisala RS80 PC Cora base case 31313=96299^ (W3=62) <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none>		
15141	IGRA2	IGRA2	CHANGE SONDE MODEL , BRITAIN KEW MARK I , to , BRITAIN KEW MARK II 	1946-01-01	3.0
15142	IGRA2	IGRA2	CHANGE SONDE MODEL , BRITAIN KEW MARK II , to , BRITAIN KEW MARK IIB UNSPECIFIED 	1952-01-01	3.0
15145	IGRA2	IGRA2	USING SONDE MODEL , I1 , BRITAIN KEW MARK II 	1960-01-01	3.0
15149	IGRA2	IGRA2	USING SONDE MODEL , I1 , BRITAIN KEW MARK IIB UNSPECIFIED 	1976-01-01	3.0
15151	IGRA2	IGRA2	USING SONDE MODEL , I1 , BRITAIN UNSPECIFIED 	1982-01-01	3.0
15152	IGRA2	IGRA2	USING SONDE MODEL , I1 , BRITAIN KEW MARK III 	1986-01-01	3.0
15152	IGRA2	IGRA2	USING SONDE MODEL , I1 , BRITAIN KEW MARK III 	1986-01-01	3.0
