	sensor_id	source	comment	date_time	value
274	119	WMO	Polus-MRZ-N1 (Russian Federation)                            		
1836	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
1563	144	WMO	TianJin HuaYunTianYi GTS(U)1 (China)*                           		
2449	163	WMO	Modem M20 radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (France)             		
619	177	WMO	Modem GPSonde M10 (France)                           		
0	57	WMO	Modem M2K2-DC (France)                		
67	80	WMO	Vaisala RS92/Digicora III (Finland)               		
36917	??? 	SCH	  ??? Unknown instrument category because data is not available for checking^		
0	C1  	SCH	  General VIZ type		
4411	IGRA2	IGRA2	USING SONDE MODEL , I1 , USWB BENDIX UNSPECIFIED 	1960-01-01	3.0
4414	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1989-01-01	3.0
4414	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1989-01-01	3.0
