	sensor_id	source	comment	date_time	value
3094	123	WMO	Vaisala RS41/DigiCORA MW41 (Finland)                           		
5095	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
0	80	WMO	Vaisala RS92/Digicora III (Finland)               		
0	RK5 	SCH	  RK5 USSR RKZ-5 radiosonde {1971}^ (W1=14, W2=20, T=311) <F=V1780PE,P=0,T=TR,U=G>		
21	IGRA2	IGRA2	USING SONDE MODEL , USSR RZ-049 UNSPECIFIED 	1958-01-01	3.0
22	IGRA2	IGRA2	CHANGE SONDE MODEL , USSR RZ-049 UNSPECIFIED , to , USSR A-22-IV.D 403 MHZ TRANSPONDER 	1962-01-01	3.0
23	IGRA2	IGRA2	CHANGE SONDE MODEL , USSR A-22-IV.D 403 MHZ TRANSPONDER , to , USSR RKZ-5 1780 MHZ 	1972-01-01	3.0
24	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR A-22 UNSPECIFIED 	1976-01-01	3.0
26	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR RKZ-5 1780 MHZ 	1982-01-01	3.0
26	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR RKZ-5 1780 MHZ 	1982-01-01	3.0
26	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR RKZ-5 1780 MHZ 	1982-01-01	3.0
29	IGRA2	IGRA2	USING SONDE MODEL , I1 , UNKNOWN 	1993-01-01	3.0
