	sensor_id	source	comment	date_time	value
3397	117	WMO	Graw DFM-09 (Germany)                            		
3189	154	WMO	Graw DFM-17 (Germany)                            		
714	177	WMO	Modem GPSonde M10 (France)                           		
693	57	WMO	Modem M2K2-DC (France)                		
15474	FG2 	SCH	  FG2 France Geolink GPSonde M2K2 {2003} 31313=55608^ (W3=56) <F=T400-406DL,P=0,T=TC,U=A,W=D or N=GC>		
14577	VEG 	SCH	  VEG Vaisala RS80 Star auto corr, GPS wind 31313=46308^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>		
14450	VEn 	SCH	  VEn Vaisala RS80 Star auto solar corr, no wind 31313=56300^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=none>		
13580	VEv 	SCH	  VEv Vaisala RS80 Star auto solar corr, Omega wind 31313=56305^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>		
0	W__ 	SCH	  W__ Wind only, method unspecified^		
15473	XXX 	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected		
