	sensor_id	source	comment	date_time	value
4660	0	WMO	NA		
6887	112	WMO	Jin Yang RSG-20A with derived pressure from GPS height/GL-5000P (Republic   of Korea)                 		
5487	114	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           		
4633	121	WMO	Jin Yang 1524LA LORAN-C/GL5000 (Republic of Korea)                        		
6152	123	WMO	Vaisala RS41/DigiCORA MW41 (Finland)                           		
4690	124	WMO	Vaisala RS41/AUTOSONDE (Finland)                            		
6198	125	WMO	Vaisala RS41/MARWIN MW32 (Finland)                           		
6139	126	WMO	Meteolabor SRS–C34/Argus 37 (Switzerland)                           		
6163	128	WMO	AVK - AK2-02 (Russian Federation)                          		
6851	20	WMO	Indian Meteorological Service MK3 (India)              		
0	W_P 	SCH	  W_P Wind only, pilot balloon (pibal)^		
17821	XXX 	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected		
6312	IGRA2	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 	1982-01-01	3.0
6312	IGRA2	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 	1982-01-01	3.0
6312	IGRA2	IGRA2	USING SONDE MODEL , I1 , INDIA MARK 3 	1982-01-01	3.0
6316	IGRA2	IGRA2	USING GROUND EQUIP. , G1 , RADIOSONDE GROUND EQUIP (RSGE) 401 MHZ 	2006-11-01	3.0
