	sensor_id	source	comment	date_time	value
2204	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
0	80	WMO	Vaisala RS92/Digicora III (Finland)               		
0	APCa	SCH	  APCa Australia Philips Mk III improved humidity duct radiosonde, DP censor {1983}^ (T=284) (F=T403FB,P=A,T=TR(VIZ),U=C(VIZ)>		
26515	APJa	SCH	  APJa Australia Philips Mk III manufacturing pressure adjustment, DP censoring {19851115}^ <F=T403FB,P=A,T=TR,U=C(VIZ)>		
28325	V8A 	SCH	  V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37^ (assume W2=04 or 14, W3=37) <F=T403FL or 1680AL,P=Ac,T=CB,U=A>		
33973	VCG 	SCH	  VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>		
29598	VCV 	SCH	  VCV Vaisala RS80 DigiCORA I, II, or Marwin auto corr, Omega wind 31313=46105^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>		
39125	VGG 	SCH	  VGG Vaisala RS80G or RS80-GH DigiCORA III auto corr, GPS wind 31313=46708^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G>		
39401	VNg 	SCH	  VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G>		
26045	XXX 	SCH	  XXX Reject all obs with this station ID in this period^ misidentified or erroneous observations which should be rejected		
1542	IGRA2	IGRA2	CHANGE SONDE MODEL , AUSTRALIA PHILIPS MK III CARBON HYGRIST , to , VAISALA RS80-15 BROADBAND XMTR 	1988-12-01	3.0
1544	IGRA2	IGRA2	CHANGE SONDE MODEL , VAISALA RS80-15 BROADBAND XMTR , to , VAISALA RS80-18 OR 18N NARROW BAND XMTR 	1990-12-01	3.0
1546	IGRA2	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 	1992-12-01	3.0
1547	IGRA2	IGRA2	CHANGE SONDE MODEL , VAISALA RS80-18 OR 18N NARROW BAND XMTR , to , VAISALA RS80-18G CODELESS GPS 	1997-10-01	3.0
1549	IGRA2	IGRA2	CHANGE SONDE MODEL , VAISALA RS80-18G , to , VAISALA RS80-15G 	2005-05-01	3.0
1550	IGRA2	IGRA2	CHANGE SONDE MODEL , VAISALA RS80-15G , to , VAISALA RS92-SGP 	2006-02-01	3.0
