	sensor_id	source	comment	date_time	value
2218	114	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           		
2921	123	WMO	Vaisala RS41/DigiCORA MW41 (Finland)                           		
3935	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
849	150	WMO	Meteolabor SRS-C50/Argus (Switzerland)                            		
0	71	WMO	Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)            		
95	79	WMO	Vaisala RS92/Digicora I, II or Marwin (Finland)            		
0	C2  	SCH	"  [10,31,38,48,65|01,02,03,18] VIZ specifically [VIZ A was ""pressure commutated""] includes VIZ A (model 1492-510, used 1986 to no later"		
5527	IGRA2	IGRA2	USING SONDE MODEL , I1 , USA CMD-18 ERRONEOUS (?) 	1960-01-01	3.0
5528	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ AN/AMQ-9 UNSPECIFIED 	1976-01-01	3.0
5529	IGRA2	IGRA2	USING SONDE MODEL , I1 , VAISALA UNSPECIFIED 	1986-01-01	3.0
5530	IGRA2	IGRA2	USING SONDE MODEL , I2 , VIZ UNSPECIFIED 	1986-01-01	3.0
5531	IGRA2	IGRA2	USING SONDE MODEL , I1 , FRANCE MESURAL UNSPECIFIED 	1989-01-01	3.0
5532	IGRA2	IGRA2	CHANGE SONDE MODEL , VIZ AN/AMT-4 UNSPECIFIED , to , VAISALA RS80 UNSPECIFIED 	1991-01-01	3.0
5534	IGRA2	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 	1992-12-01	3.0
