	sensor_id	source	comment	date_time	value
1467	113	WMO	Vaisala RS92/MARWIN MW32 (Finland)                           		
579	114	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           		
425	117	WMO	Graw DFM-09 (Germany)                            		
0	51	WMO	VIZ-B2 (United States)                		
0	ZF1 	SCH	  ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}^ (T=411) <F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)>		
27590	ZKN 	SCH	  ZKN Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF, new RH coefficients {1999} 31313=05102^ (W3=51,T=489) <F=T1680DL,P=Ac,T=TR,U=C,W=Da(ART-2)>		
8162	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
8164	IGRA2	IGRA2	USING SONDE MODEL , I1 , FRANCE MESURAL UNSPECIFIED 	1982-01-01	3.0
8162	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
8162	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
