	sensor_id	source	comment	date_time	value
1914	114	WMO	Vaisala RS92/DigiCORA MW41 (Finland)                           		
1916	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
3679	4	WMO	 No radiosonde – passive temperature-humidity profiler            		
0	80	WMO	Vaisala RS92/Digicora III (Finland)               		
0	RK2 	SCH	  RK2 USSR RKZ-2 radiosonde {1967}^ (W2=20, T=304) <F=V1780PB,P=B,T=TR,U=G>		
8904	RK5 	SCH	  RK5 USSR RKZ-5 radiosonde {1971}^ (W1=14, W2=20, T=311) <F=V1780PE,P=0,T=TR,U=G>		
21899	RRB 	SCH	  RRB USSR MARS-2-2 radiosonde {1983} 31313=72903^ (W3=29, T=225, 31313=72903) used with Meteorit-2 radar <F=T1780PM,P=0,T=TR,U=G,W=Ta>		
27260	V9l 	SCH	  V9l Vaisala RS90 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=47106^ <F=T403DL,P=Sc,T=Wc,U=2Ah,N=L>		
25948	VCL 	SCH	  VCL Vaisala RS80 DigiCORA I, II, or Marwin auto corr, LoRAN wind 31313=46106^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=L>		
22109	VCV 	SCH	  VCV Vaisala RS80 DigiCORA I, II, or Marwin auto corr, Omega wind 31313=46105^ <F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=O>		
30572	VNl 	SCH	  VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006^ <F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L>		
21898	Vcv 	SCH	  Vcv exact type insufficiently documented		
10357	IGRA2	IGRA2	CHANGE SONDE MODEL , USSR A-22-IV UNSPECIFIED , to , USSR RKZ-2 1780 MHZ 	1973-01-01	3.0
10359	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR RKZ-2 1780 MHZ 	1976-01-01	3.0
10360	IGRA2	IGRA2	CHANGE SONDE MODEL , USSR RKZ-2 1780 MHZ , to , USSR RKZ-5 1780 MHZ 	1981-01-01	3.0
10359	IGRA2	IGRA2	USING SONDE MODEL , I1 , USSR RKZ-2 1780 MHZ 	1976-01-01	3.0
10365	IGRA2	IGRA2	USING SONDE MODEL , I1 , RUSSIA/USSR MARS UNSPECIFIED 	1986-01-01	3.0
10366	IGRA2	IGRA2	USING SONDE MODEL , I2 , RUSSIA/USSR MARS UNSPECIFIED 	1986-01-01	3.0
10367	IGRA2	IGRA2	CHANGE SONDE MODEL , USSR RKZ-5 1780 MHZ , to , RUSSIA/USSR MARS UNSPECIFIED 	1987-01-01	3.0
10365	IGRA2	IGRA2	USING SONDE MODEL , I1 , RUSSIA/USSR MARS UNSPECIFIED 	1986-01-01	3.0
10371	IGRA2	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80 UNSPECIFIED 	1993-01-01	3.0
