	sensor_id	source	comment	date_time	value
0	### 	SCH	  ### exact type insufficiently documented		
4456	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
1	71	WMO	Vaisala RS90/Loran/Digicora I, II or Marwin (Finland)            		
18068	AA5 	SCH	  AA5 Australia Astor 403 MHz thermistor in duct radiosonde {<= 1953}^ (I=K including 72 and 403 MHz, T=090) <F=V403FB,P=A,T=TRd,U=L>		
38134	C]  	SCH	  Carbon VIZ C2 and lithium chloride L3 Astor or Philips RS4 (48568, 91610, 91843, 93780, etc.).		
59987	V8A 	SCH	  V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37^ (assume W2=04 or 14, W3=37) <F=T403FL or 1680AL,P=Ac,T=CB,U=A>		
10025	IGRA2	IGRA2	CHANGE SONDE MODEL , UNKNOWN , to , UNKNOWN 	1960-10-01	3.0
10027	IGRA2	IGRA2	USING SONDE MODEL , I1 , AUSTRALIA ECLIPSE RADIO 	1960-01-01	3.0
10025	IGRA2	IGRA2	CHANGE SONDE MODEL , UNKNOWN , to , UNKNOWN 	1960-10-01	3.0
10032	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ 1395-410 NWS 403 MHZ BASELINE 	1982-01-01	3.0
10032	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ 1395-410 NWS 403 MHZ BASELINE 	1982-01-01	3.0
10034	IGRA2	IGRA2	CHANGE SONDE MODEL , UNKNOWN , to , VAISALA RS80 UNSPECIFIED 	1989-04-01	3.0
10035	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1989-01-01	3.0
10038	IGRA2	IGRA2	USING SONDE MODEL , I1 , VAISALA RS80-15H OR NH (H HUMICAP) , ? 	1991-04-01	3.0
10040	IGRA2	IGRA2	CHANGE SONDE MODEL , I1 , VAISALA RS80-15H OR NH (H HUMICAP) , to , VAISALA RS92-K ANALOG PTU 	2006-08-01	3.0
10043	IGRA2	IGRA2	USING SONDE MODEL , I2 , WIND: WIND ONLY RADAR (PASSIVE TARGET) 	2007-06-01	3.0
