	sensor_id	source	comment	date_time	value
0	117	WMO	Graw DFM-09 (Germany)                            		
1872	135	WMO	Meisei iMS-100 GPS radiosonde w/thermistor sensor, capacitance relative humidity   sensor, and derived pressure from GPS height (Japan)            		
2504	141	WMO	Vaisala RS41 with pressure derived from GPS height/ DigiCORA MW41   (Finland)                  		
2	80	WMO	Vaisala RS92/Digicora III (Finland)               		
0	ZF1 	SCH	  ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}^ (T=411) <F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)>		
9550	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
9552	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ MK I MICROSONDE OMEGA UNSPECIFIED 	1982-01-01	3.0
9554	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ 1392 SERIES UNSPEC TRANSISTOR XMTR 	1986-01-01	3.0
9550	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
9550	IGRA2	IGRA2	USING SONDE MODEL , I1 , VIZ UNSPECIFIED 	1976-01-01	3.0
