	station_id_igra	station_name	latitude	longitude	station_id
0	ACM00078861	COOLIDGE FIELD (UA)	17.117	-61.783	78861
1	AEM00041217	ABU DHABI INTERNATIONAL AIRPOR	24.4333	54.65	41217
2	AEXUAE05467	SHARJAH	25.25	55.37	05467
3	AFM00040911	MAZAR-I-SHARIF	36.7	67.2	40911
4	AFM00040913	KUNDUZ	36.6667	68.9167	40913
5	AFM00040938	HERAT	34.217	62.217	40938
6	AFM00040948	KABUL AIRPORT	34.55	69.2167	40948
7	AFM00040990	KANDAHAR AIRPORT	31.5	65.85	40990
8	AGM00060355	SKIKDA	36.883	6.9	60355
9	AGM00060360	ANNABA	36.833	7.817	60360
10	AGM00060390	DAR-EL-BEIDA	36.6833	3.2167	60390
11	AGM00060402	BEJAIA-AEROPORT	36.717	5.067	60402
12	AGM00060419	CONSTANTINE	36.283	6.617	60419
13	AGM00060425	CHLEF	36.217	1.333	60425
14	AGM00060430	MILIANA	36.3	2.233	60430
15	AGM00060445	SETIF	36.183	5.25	60445
16	AGM00060475	TEBESSA	35.417	8.117	60475
17	AGM00060490	ORAN-SENIA	35.633	-0.6	60490
18	AGM00060511	TIARET	35.35	1.467	60511
19	AGM00060525	BISKRA	34.8	5.733	60525
20	AGM00060535	DJELFA	34.6833	3.25	60535
21	AGM00060549	MECHERIA	33.5333	-0.2833	60549
22	AGM00060550	EL-BAYADH	33.683	1.0	60550
23	AGM00060559	EL-OUED	33.5	6.783	60559
24	AGM00060566	GHARDAIA	32.383	3.817	60566
25	AGM00060571	BECHAR	31.5	-2.25	60571
26	AGM00060580	OUARGLA	31.9333	5.4	60580
27	AGM00060590	EL-GOLEA	30.567	2.867	60590
28	AGM00060602	BENI-ABBES	30.133	-2.167	60602
29	AGM00060607	TIMIMOUN	29.25	0.283	60607
30	AGM00060611	IN-AMENAS	28.05	9.633	60611
31	AGM00060620	ADRAR	27.883	-0.283	60620
32	AGM00060625	AOULEF	26.9667	1.0833	60625
33	AGM00060630	IN-SALAH	27.2333	2.5	60630
34	AGM00060640	ILLIZI	26.5	8.417	60640
35	AGM00060656	TINDOUF	27.7	-8.1667	60656
36	AGM00060670	DJANET	24.267	9.467	60670
37	AGM00060678	IN AMGUEL	23.8167	5.15	60678
38	AGM00060680	TAMANRASSET	22.8	5.4333	60680
39	AGM00060686	BORDJ-BADJ-MOKHTAR	21.3333	0.95	60686
40	AGXUAE04843	ALGER	36.77	3.05	04843
41	AJM00037575	ZAKATALA	41.55	46.667	37575
42	AJM00037735	GANDJA	40.717	46.417	37735
43	AJM00037747	EVLAKH AIRPORT	40.617	47.15	37747
44	AJM00037860	MASHTAGA	40.5333	50.0	37860
45	AJM00037895	KHANKANDY	39.983	46.75	37895
46	AJM00037936	NAXCIVAN	39.2	45.417	37936
47	AJM00037985	LANKARAN	38.733	48.833	37985
48	AMM00037686	GUMRI	40.783	43.833	37686
49	AMM00037789	YEREVAN AERO	40.2169	44.5017	37789
50	AOM00066152	DUNDO	-7.4	20.817	66152
51	AOM00066160	LUANDA	-8.85	13.233	66160
52	AOM00066285	LUENA (LUSO)	-11.783	19.917	66285
53	AOM00066318	HUAMBO	-12.8	15.75	66318
54	AOM00066390	LUBANGO	-14.933	13.567	66390
55	AOM00066422	MOCAMEDES	-15.2167	12.1667	66422
56	AOXUAE05971	LOBITO	-12.37	13.53	05971
57	AQM00091765	PAGO PAGO/INT.AIRP. AMERICAN S	-14.3383	-170.7192	91765
58	AQW00061704	LEONE BAY AMERICAN S	-14.3667	-170.7833	61704
59	ARM00087047	SALTA AERO	-24.85	-65.4833	87047
60	ARM00087155	RESISTENCIA AERO	-27.45	-59.05	87155
61	ARM00087157	RESISTENCIA	-27.4667	-58.9833	87157
62	ARM00087344	CORDOBA AERO	-31.3167	-64.2167	87344
63	ARM00087418	MENDOZA AERO	-32.8333	-68.7833	87418
64	ARM00087420	OBSERV MENDOZA	-32.8833	-68.85	87420
65	ARM00087576	EZEIZA AERO	-34.8167	-58.5333	87576
66	ARM00087585	BUENOS AIRES	-34.58	-58.48	87585
67	ARM00087596	PUNTA INDIO B.A.	-35.367	-57.283	87596
68	ARM00087623	SANTA ROSA AERO	-36.5667	-64.2667	87623
69	ARM00087715	NEUQUEN AERO	-38.95	-68.1333	87715
70	ARM00087748	COMANDANTE ESPORA	-38.7333	-62.1667	87748
71	ARM00087827	ALMIRANTE ZAR	-43.2333	-65.3	87827
72	ARM00087860	COMODORO RIVADAVIA AERO	-45.7833	-67.5	87860
73	ARM00087926	RIO GALLEGOS B. A.	-51.6333	-69.2167	87926
74	ARM00087934	RIO GRANDE AIRPORT	-53.8	-67.75	87934
75	ARM00087938	USHUAIA	-54.8	-68.3167	87938
76	ARM00088946	CORBETA URUGUAY DN	-59.45	-27.267	88946
77	ASM00094120	DARWIN AIRPORT	-12.4239	130.8925	94120
78	ASM00094150	GOVE AIRPORT	-12.2742	136.8203	94150
79	ASM00094170	WEIPA AERO	-12.6778	141.9208	94170
80	ASM00094175	THURSDAY IL/HORN IL	-10.583	142.217	94175
81	ASM00094203	BROOME AIRPORT	-17.9475	122.2353	94203
82	ASM00094205	DERBY	-17.3167	123.6333	94205
83	ASM00094212	HALLS CREEK AIRPORT	-18.2292	127.6636	94212
84	ASM00094234	DALY WATERS	-16.2667	133.3833	94234
85	ASM00094238	TENNANT CREEK AIRPORT	-19.6422	134.1833	94238
86	ASM00094259	BURKETOWN	-17.7333	139.5333	94259
87	ASM00094266	NORMANTON AIRPORT	-17.6833	141.0667	94266
88	ASM00094287	CAIRNS AERO	-16.8736	145.7458	94287
89	ASM00094294	TOWNSVILLE AERO	-19.2483	146.7661	94294
90	ASM00094299	WILLIS ISLAND	-16.2833	149.965	94299
91	ASM00094300	CARNARVON AIRPORT	-24.8878	113.67	94300
92	ASM00094302	LEARMONTH AIRPORT	-22.2406	114.0967	94302
93	ASM00094305	ONSLOW	-21.6333	115.1167	94305
94	ASM00094312	PORT HEDLAND AIRPORT	-20.3725	118.6317	94312
95	ASM00094326	ALICE SPRINGS AIRPORT	-23.795	133.8889	94326
96	ASM00094332	MOUNT ISA AERO	-20.6778	139.4875	94332
97	ASM00094335	CLONCURRY	-20.6667	140.5	94335
98	ASM00094346	LONGREACH AERO	-23.4372	144.2769	94346
99	ASM00094367	MACKAY M.O	-21.1172	149.2169	94367
100	ASM00094374	ROCKHAMPTON AERO	-23.3753	150.4775	94374
101	ASM00094380	GLADSTONE	-23.85	151.25	94380
102	ASM00094403	GERALDTON AIRPORT	-28.8044	114.6989	94403
103	ASM00094430	MEEKATHARRA AIRPORT	-26.6136	118.5372	94430
104	ASM00094461	GILES METEOROLOGICAL OFFICE	-25.0342	128.3011	94461
105	ASM00094476	OODNADATTA	-27.55	135.4833	94476
106	ASM00094510	CHARLEVILLE AERO	-26.4139	146.2558	94510
107	ASM00094568	AMBERLEY	-27.65	152.7167	94568
108	ASM00094578	BRISBANE AERO	-27.3917	153.1292	94578
109	ASM00094610	PERTH AIRPORT	-31.9275	115.9764	94610
110	ASM00094637	KALGOORLIE-BOULDER AIRPORT	-30.7847	121.4533	94637
111	ASM00094638	ESPERANCE	-33.83	121.8925	94638
112	ASM00094646	FORREST AIRPORT	-30.833	128.1	94646
113	ASM00094647	EUCLA	-31.6667	128.8667	94647
114	ASM00094653	CEDUNA AMO	-32.1297	133.6975	94653
115	ASM00094659	WOOMERA AERODROME	-31.1558	136.8053	94659
116	ASM00094672	ADELAIDE AIRPORT	-34.9525	138.5203	94672
117	ASM00094693	MILDURA AIRPORT	-34.2358	142.0867	94693
118	ASM00094703	BOURKE (S23'05'11'17)	-30.0833	145.9667	94703
119	ASM00094711	COBAR MO	-31.4839	145.8294	94711
120	ASM00094723	WELLINGTON	-32.5667	148.95	94723
121	ASM00094750	NOWRA RAN AIR STATION AWS	-34.9469	150.5353	94750
122	ASM00094767	SYDNEY AIRPORT AMO	-33.9464	151.1731	94767
123	ASM00094773	ARMIDALE	-30.5167	151.65	94773
124	ASM00094776	WILLIAMTOWN RAAF	-32.7933	151.8358	94776
125	ASM00094791	COFFS HARBOUR MO	-30.3108	153.1186	94791
126	ASM00094802	ALBANY AIRPORT	-34.9414	117.8022	94802
