	wmo	lat	lon	station	date_min	date_max
0	01001	  70.98	  -8.35	Jan Mayen - Oldest Meteorological Station (Eldstemetten), Norway	1922-01-01 00:00:00	2010-03-19 00:00:00
1	01003	  78.9239	  11.9285	(assigned station ID) ENAS Ny-Alesund II Research Village, Koldewey Station, Svalbard / Spitsbergen / Spitzbergen, Norway (ozonesondes)	1988-12-01 00:00:00	1999-10-01 00:00:00
2	01004	  79.15	  11.60	(assigned station ID) Deutsches Observatorium Ebeltofthafn (operated by German Geophysical Observatory expedition), Cross Bay, Spitsbergen / Spitzbergen, Norway	1912-06-01 00:00:00	2009-06-26 00:00:00
3	01005	  78.07	  13.63	Isfjord Radio, Svalbard / Spitsbergen / Spitzbergen, Norway	1957-09-01 00:00:00	1959-03-01 00:00:00
4	01007	  78.25	  15.47	(assigned station ID) Hotelnesset / Hotellneset / Longyearbyen (operated by German Geophysical Observatory expedition), Advent Bay, Spitsbergen / Spitzbergen, Norway	1911-09-01 00:00:00	1912-05-01 00:00:00
5	01010	  69.32	  16.13	ENAN Andenes - ALOMAR Radiosonde Station, Norway	1979-07-01 00:00:00	2007-05-02 00:00:00
6	01011	  69.2984	  16.0421	(made up station ID) Andenes 53.5 MHz ALOMAR SOUSY wind profiler site, Norway	1994-06-01 00:00:00	1998-10-14 00:00:00
7	01013	  80.050	  22.514	(made up station ID) Haudegen (operated by German Navy), Wordie Bay, Rijpfjorden, Nordaustlandet, Spitsbergen / Spitzbergen, Norway	1944-11-01 00:00:00	1945-09-03 00:00:00
8	01020	  80.06	  18.25	(made up station ID) Murchison Bay Swedish-Finnish-Swiss IGY site, Norway	1957-08-01 00:00:00	1958-08-01 00:00:00
9	01026	  69.65	  18.95	Tromso, Norway	1939-03-31 00:00:00	1944-02-29 00:00:00
10	01028	  74.50	  19.00	Herwighamna, Bjornoya / Bear Island, Svalbard / Spitsbergen / Spitzbergen, Norway	1975-10-01 00:00:00	2005-05-28 00:00:00
11	01030	  69.70	  19.02	Tromso/Skattora, Norway	1949-01-01 00:00:00	1961-06-01 00:00:00
12	01038	  69.70	  19.02	Tromso, Norway	1958-04-01 00:00:00	1963-04-01 00:00:00
13	01059	  70.07	  24.98	Banak Aeradio, Norway	9999999	9999999
14	01152	  67.28	  14.43	Bodo, Norway	1942-04-01 00:00:00	2000-11-08 00:00:00
15	01194	  68.47	  17.50	Narvik, Norway	1940-09-29 00:00:00	1941-06-28 00:00:00
