	WMO station No.	Station name	Lat	Lon	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	elevation	min_date	max_date	files	conv_lat	conv_lon
0	65578	ABIDJAN	05°I5'N	03°56'W	X	X	1.0	1.0	1.0	DII (RS92)	11.0	42.0	8.0	20060718.0	20061107.0	65578_amma.csv	5.25	-3.93
1	65125	ABUJA	09°I5'N	07°00'E			1.0	4.0	8.0	DIII (new)	23.0	97.0	344.0	20060608.0	20061226.0	65125_amma.csv	9.25	7.000000000000001
2	61024	AGADEZ	I6°58'N	07°59'E		X	1.0	4.0	8.0	DII (RS92) 	70.0	100.0	502.0	20060120.0	20061010.0	61024_amma.csv	16.970000000000002	7.98
3	61291	BAMAKO	I2°32'N	07°57'W		X	2.0	2.0	2.0	DII (RS92)	81.0	97.0	381.0	20060101.0	20061231.0	61291_amma.csv	12.53	-7.950000000000001
4	64650	BANGUI	04°24'N	18°31'E		X	1.0	1.0	1.0	MODEM	11.0	39.0	366.0	20060427.0	20061214.0	64650_amma.csv	4.4	18.520000000000003
5	65344	COTONOU	06°2I'N	02°23'E		X	1.0	4.0	8.0	MODEM new	57.0	97.0	9.0	20060101.0	20061213.0	65344_amma.csv	6.3500000000000005	2.3800000000000003
6	61641	DAKAR/YOFF	I4°44'N	I7°30'W	X	X	2.0	2.0	2.0	DII (RS92)	89.0	100.0	24.0	20060101.0	20061231.0	61641_amma.csv	14.73	-17.5
7	64910	DOUALA	04°0I'N	09°42'E	X	X	1.0	2.0	2.0	DII (RS92)	76.0	95.0	15.0	20060209.0	20061220.0	64910_amma.csv	4.0200000000000005	9.7
8	64700	NDJAMENA	I2°08'N	I5°02'E		X	1.0	2.0	2.0	DII (RS92)	72.0	98.0	295.0	20060101.0	20061217.0	64700_amma.csv	12.13	15.03
9	64870	NGAOUNDERE	07°2I'N	I3°34'E		X	2.0	1.0	1.0	DII (RS92)	61.0	100.0	1104.0	20060501.0	20060930.0	64870_amma.csv	7.35	13.57
10	61052	NIAMEY	I3°29'N	02°I0'E	X	X	1.0	4.0	8.0	DII (RS92)	72.0	99.0	227.0	20060118.0	20061231.0	61052_amma.csv	13.48	2.1700000000000004
11	61415	NOUADHIBOU	20°56'N	I7°02'W		X	1.0	1.0	1.0	DII (RS92)	25.0	90.0	3.0	20060315.0	20061028.0	61415_amma.csv	20.930000000000003	-17.03
12	61442	NOUAKCHOTT	I8°06'N	I5°57'W		X	1.0	1.0	1.0	DII (RS92)	61.0	97.0	3.0	20060105.0	20061231.0	61442_amma.csv	18.1	-15.95
13	65503	OUAGADOUGOU	I2°2I'N	0I°3I'W		X	1.0	1.0	1.0	MODEM	48.0	100.0	306.0	20060507.0	20061231.0	65503_amma.csv	12.35	-1.52
14	65330	PARAKOU	09°2I'N	02°37'E			1.0	4.0	8.0	MODEM new	36.0	82.0	393.0	20060101.0	20061231.0	65330_amma.csv	9.35	2.62
15	8594	SAL	I6°44'N	22°57'W	X		1.0	1.0	1.0		96.0	100.0	53.0	20060504.0	20060929.0	08594_amma.csv	16.73	-22.950000000000003
16	65418	TAMALE	09°30'N	00°5I'W			1.0	4.0	8.0	DIII (new)	17.0	58.0	173.0	20060508.0	20061227.0	65418_amma.csv	9.5	-0.8500000000000001
17	60680	TAMANRASSET	22°48'N	05°26'E	X		1.0	4.0	4.0		98.0	100.0	1364.0	20060501.0	20060930.0	60680_amma.csv	22.8	5.430000000000001
18	61687	TAMBACOUNDA	I3°46'N	"I3°4I""W"	X		1.0	1.0	1.0	MODEM	52.0	100.0	50.0	20060322.0	20061230.0	61687_amma.csv	13.77	-13.68
19	61202	TESSALIT	20°I2'N	00°59'E		X	1.0	1.0	1.0	DII (RS92)	0.0	0.0						
20	61223	TOMBOUCTOU	I6°43'N	03°00'W			1.0	1.0	1.0	DII (RS92)	2.0	10.0	264.0	20060101.0	20061231.0	61223_amma.csv	16.720000000000002	-3.0000000000000004
21	61831	CONAKRY	09°34'N	I3°37'W		X				No upgrade			48.0	20060827.0	20061106.0	61831_amma.csv	9.56	-13.61
22	65548	MAN	7°23'N	7°3I'W		X				DII (RS92)								
23	64750	SARH	09°09'N	I8°23'E		X				DII (RS92)			365.0	20060105.0	20061231.0	64750_amma.csv	9.15	18.380000000000003
