primary_id	secondary_id	station_name	latitude	longitude	start	end	file
0-20000-0-78862	[]	VC BIRD INT'L AIRPORT ANTIGUA	17.117	-61.783	1947-01-01 00:00:00	1993-12-31 00:00:00	CC_AC__Network_M__Code_000__StationId_78861__Latitude_17.117__Longitude_-61.783__Elev_10.0__dummy_nan__StationName_COOLIDGE FIELD (UA)__From_1947__To_1993__Nrec_13896__
0-20000-0-41217	[]	ABU DHABI INTERNATIONAL AIRPORT	24.433	54.65	1983-01-01 00:00:00	2020-12-31 00:00:00	CC_AE__Network_M__Code_000__StationId_41217__Latitude_24.4333__Longitude_54.65__Elev_16.0__dummy_nan__StationName_ABU DHABI INTERNATIONAL AIRPOR__From_1983__To_2020__Nrec_36868__
0-20000-0-41194	[]	DUBAI INTERNATIONAL AIRPORT	25.25	55.37	1935-01-01 00:00:00	1942-12-31 00:00:00	CC_AE__Network_X__Code_UAE__StationId_05467__Latitude_25.25__Longitude_55.37__Elev_4.0__dummy_nan__StationName_SHARJAH__From_1935__To_1942__Nrec_2477__
0-20000-0-40911	[]	MAZAR-I-SHARIF	36.7	67.2	2010-01-01 00:00:00	2014-12-31 00:00:00	CC_AF__Network_M__Code_000__StationId_40911__Latitude_36.7__Longitude_67.2__Elev_378.0__dummy_nan__StationName_MAZAR-I-SHARIF__From_2010__To_2014__Nrec_2179__
0-20000-0-40913	[]	KUNDUZ	36.667	68.917	2010-01-01 00:00:00	2013-12-31 00:00:00	CC_AF__Network_M__Code_000__StationId_40913__Latitude_36.6667__Longitude_68.9167__Elev_433.0__dummy_nan__StationName_KUNDUZ__From_2010__To_2013__Nrec_4540__
0-20000-0-40938	[]	HERAT	34.217	62.217	1978-01-01 00:00:00	1988-12-31 00:00:00	CC_AF__Network_M__Code_000__StationId_40938__Latitude_34.217__Longitude_62.217__Elev_977.0__dummy_nan__StationName_HERAT__From_1978__To_1988__Nrec_1107__
0-20000-0-40948	[]	KABUL AIRPORT	34.55	69.217	1961-01-01 00:00:00	2020-12-31 00:00:00	CC_AF__Network_M__Code_000__StationId_40948__Latitude_34.55__Longitude_69.2167__Elev_1791.0__dummy_nan__StationName_KABUL AIRPORT__From_1961__To_2020__Nrec_18388__
0-20000-0-40990	[]	KANDAHAR AIRPORT	31.5	65.85	1976-01-01 00:00:00	2014-12-31 00:00:00	CC_AF__Network_M__Code_000__StationId_40990__Latitude_31.5__Longitude_65.85__Elev_1010.0__dummy_nan__StationName_KANDAHAR AIRPORT__From_1976__To_2014__Nrec_5934__
0-20000-0-60355	[]	SKIKDA	36.883	6.9	1974-01-01 00:00:00	1976-12-31 00:00:00	CC_AG__Network_M__Code_000__StationId_60355__Latitude_36.883__Longitude_6.9__Elev_3.0__dummy_nan__StationName_SKIKDA__From_1974__To_1976__Nrec_639__
0-20000-0-60360	[]	ANNABA	36.833	7.817	1973-01-01 00:00:00	2008-12-31 00:00:00	CC_AG__Network_M__Code_000__StationId_60360__Latitude_36.833__Longitude_7.817__Elev_4.0__dummy_nan__StationName_ANNABA__From_1973__To_2008__Nrec_30088__
