level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		PONCE LOSEY FIELD	18.0167	-66.5	9.4				11607	1941.0	1948.0	True	0.4		0-20300-0-11607	IGRA2	ponce	12.1	18.0130556	-66.6144444	RQW00011607																					inconsistentCoordinates
0	0		PONCE LOSEY AAB	18.02	-66.5	9.144				11607	19460101.0	19500430.0		0.0		0-20500-0-11607	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
1	1		PONCE LOSEY AAB	18.02	-66.5	9.144				11607	19410301.0	19460101.0		0.0		0-20500-0-11607	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
2	2		PONCE MERCEDITA	18.02	-66.57	7.9248				11633	19681231.0	19760101.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
3	3		PONCE MERCEDITA AIRPOR	18.02	-66.57	7.9248				11633	19681201.0	19681231.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
4	4		PONCE MERCEDITA	18.02	-66.57	21.031200000000002				11633	19780201.0	19810731.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
5	5		PONCE MERCEDITA	18.02	-66.57	21.031200000000002				11633	19760101.0	19780201.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
6	6		PONCE MERCEDITA	18.02	-66.57	7.9248				11633	19551201.0	19570101.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
7	7		PONCE MERCEDITA AIRPOR	18.02	-66.57	7.9248				11633	19570101.0	19570131.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
8	8		PONCE	18.02	-66.57	21.031200000000002				11633	19811231.0	99991231.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
9	9		PONCE	18.02	-66.57	21.031200000000002				11633	19780201.0	19811231.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
10	10		PONCE MERCEDITA AIRPOR	18.02	-66.57	7.9248				11633	19570131.0	19681201.0		7.4		0-20500-0-11633	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
11	11		PONCE SANTA ISABEL	17.97	-66.4	9.144				11637	19540531.0	19550101.0		11.9		0-20500-0-11637	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
12	12		SANTA ISABEL	17.97	-66.4	9.144				11637	19500401.0	19540101.0		11.9		0-20500-0-11637	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
13	13		SANTA ISABEL	17.97	-66.4	9.144				11637	19540101.0	19551130.0		11.9		0-20500-0-11637	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
14	14		PONCE SANTA ISABEL	17.97	-66.4	9.144				11637	19540401.0	19540531.0		11.9		0-20500-0-11637	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
15	15		PONCE SANTA ISABEL	17.97	-66.4	9.144				11637	19550101.0	19681231.0		11.9		0-20500-0-11637	WBAN	ponce	12.1	18.0130556	-66.6144444																						inconsistentCoordinates
0	0		PONCE                    	18.016666666666666	-66.56666666666666	-999.0				78520				7.1		0-20700-0-78520	WMO	ponce	12.1	18.0130556	-66.6144444		78520	1777.0																			inconsistentCoordinates
