level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		TATOOSH ISLAND WB	48.3833	-124.7333	35.1				72798	1940.0	1966.0	True	0.4		0-20300-0-72798	IGRA2	duncan	88.2	48.783333	-123.7	USM00072798																					inconsistentCoordinates
0	0		KTTI [PTA] Tatoosh Island, WA (WBAN=24240)	48.391	-124.736	-999.0				72798				1.3		0-20600-0-72798	SCHROEDER	duncan	88.2	48.783333	-123.7		72798	2679.0	1943-03-14 00:00:00	1963-04-26 00:00:00																	inconsistentCoordinates
0	0		TATOOSH ISLAND WB	48.38	-124.73	35.052				24240	19480601.0	19480630.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
1	1		TATOOSH ISLAND	48.38	-124.73	35.052				24240	19390630.0	19400501.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
2	2		TATOOSH ISLAND	48.38	-124.73	35.052				24240	19300701.0	19390630.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
3	3		TATOOSH ISLAND	48.38	-124.73	35.052				24240	19291231.0	19300701.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
4	4		TATOOSH ISLAND	48.38	-124.73	35.052				24240	19021101.0	19291231.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
5	5		TATOOSH ISLAND	48.38	-124.73	25.908				24240	18920101.0	18981231.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
6	6		TATOOSH ISLAND	48.38	-124.73	25.908				24240	18891231.0	18920101.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
7	7		TATOOSH ISLAND	48.38	-124.73	25.908				24240	18831001.0	18891231.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
8	8		TATOOSH ISLAND	48.38	-124.73	35.052				24240	19400501.0	19480601.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
9	9		TATOOSH ISLAND WB	48.38	-124.73	35.052				24240	19480630.0	19660731.0		0.0		0-20500-0-24240	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
10	10		OLYMPIC PEN AIR SAMP	48.25	-124.42	488.2896				94286	19841106.0	19900530.0		27.2		0-20500-0-94286	WBAN	duncan	88.2	48.783333	-123.7																						inconsistentCoordinates
0	0		TATOOSH ISLAND           	48.38333333333333	-124.73333333333332	-999.0				72798				0.4		0-20700-0-72798	WMO	duncan	88.2	48.783333	-123.7		72798	1382.0																			inconsistentCoordinates
