level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		MODENA	37.8	-113.9	1666.0				23177	1927.0	1948.0	True	158.5		0-20300-0-23177	IGRA2	cedar city	85.8	37.6775	-113.0611111	USW00023177																					inconsistentCoordinates
0	0		BRYCE CNYN FAA AP	37.71	-112.15	2312.2128000000002				23159	20001116.0	99991231.0		10.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
1	1		BRYCE CANYON FAA AIRPORT	37.7	-112.15	2312.5176				23159	19820101.0	19830531.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
2	2		BRYCE CANYON FAA AIRPORT	37.7	-112.15	2317.0896000000002				23159	19740523.0	19811231.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
3	3		BRYCE CANYON CAA ARPT	37.7	-112.15	2317.0896000000002				23159	19610101.0	19740523.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
4	4		BRYCE CANYON CAA ARPT	37.7	-112.15	2317.0896000000002				23159	19520101.0	19610101.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
5	5		BRYCE CANYON CAA ARPT	37.7	-112.15	2314.0416				23159	19510627.0	19520101.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
6	6		BRYCE CANYON	37.7	-112.15	2314.0416				23159	19480731.0	19510627.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
7	7		BRYCE CANYON	37.7	-112.15	2314.0416				23159	19480701.0	19480731.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
8	8		BRYCE CANYON	37.7	-112.15	2314.0416				23159	19460301.0	19480701.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
9	9		BRYCE CANYON	37.7	-112.15	2310.9936000000002				23159	19450901.0	19451031.0		11.9		0-20500-0-23159	WBAN	cedar city	85.8	37.6775	-113.0611111																						inconsistentCoordinates
