,station,start,end,obs,lat,lon,rh,temp,u,v,rh_h,temp_h,u_h,v_h
0,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AGM00060686.csv,2011-06-0112:00:00+00,2012-06-3018:00:00+00,2981,21.3333,0.95,,,,,,,,
1,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ASM00094238.csv,2012-03-1400:00:00+00,2012-11-2900:00:00+00,7580,-19.6422,134.183,,,,,,,,
2,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ASM00094653.csv,2004-06-2223:00:00+00,2023-02-1508:00:00+00,5956,-32.1297,133.697,,,,,,,,
3,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AGM00060549.csv,1987-03-0112:00:00+00,2012-07-0912:00:00+00,44151,33.5333,-0.2833,,,,,,,,
4,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AFM00040911.csv,2010-03-0100:00:00+00,2014-12-3121:00:00+00,51564,36.7,67.2,,,,,,,,
5,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089625.csv,2006-04-2712:00:00+00,2023-05-0612:00:00+00,101741,-75.1017,123.412,,,,,,,,
6,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089662.csv,1987-01-1300:00:00+00,2023-01-3112:00:00+00,103524,-74.6958,164.092,,,,,,,,
7,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AFM00040990.csv,1976-07-0300:00:00+00,2014-10-1400:00:00+00,97971,31.5,65.85,,,,,,,,
8,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089055.csv,1982-07-0612:00:00+00,2023-05-0112:00:00+00,154119,-64.2333,-56.7167,,,,,,,,
9,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AYM00089062.csv,2002-01-0712:00:00+00,2023-05-0512:00:00+00,243906,-67.5661,-68.1297,,,,,,,,
10,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_AGM00060656.csv,1998-01-0112:00:00+00,2023-05-0600:00:00+00,271676,27.7,-8.1667,,,,,,,,
11,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ARM00087047.csv,1965-06-0100:00:00+00,2014-03-2612:00:00+00,315638,-24.85,-65.4833,-3.6771544251579376,0.28777747616213745,,,-3.6771544251579376,0.28777747616213745,,
12,/users/staff/uvoggenberger/scratch/RHARM_2/cleaned_ASM00094750.csv,1965-01-0323:00:00+00,2023-01-2500:00:00+00,269867,-34.9469,150.535,-2.2099508076370227,0.2718738732301433,,,-2.2099508076370227,0.2718738732301433,,
