level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		LEMOORE	36.25	-119.95	76.5				23110	1942.0	1945.0	True	1.8		IGRA2	0-20300-0-23110	lemoore	16.1	36.3008333	-119.7819444	USW00023110				
0	0	0-20000-0-74702	LEMOORE, CA. (NAS)	36.333333333333336	-119.95		Surface land meteorological station (SYNOP), GOS	36 20 00N	119 57 00W	74702	999.0	999.0	False	9.4		OSCAR	0-20000-0-74702	lemoore	16.1	36.3008333	-119.7819444					
0	0		Lemoore Naval Air Station, CA	36.33	-119.93	-999.0				74702				8.9		SCHROEDER	0-20600-0-74702	lemoore	16.1	36.3008333	-119.7819444		74702.0	3128.0	1993-10-17 00:00:00	2006-03-02 00:00:00
0	0		LEMOORE AAF	36.25	-119.93	77.1144				23110	19420101.0	19430101.0		0.0		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444					
1	1		LEMOORE AAF	36.25	-119.95	78.0288				23110	19440101.0	19450101.0		1.8		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444					
2	2		LEMOORE AAF	36.25	-119.95	77.1144				23110	19450101.0	19451031.0		1.8		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444					
3	3		LEMOORE REEVES NAS	36.33	-119.95	73.152				23110	19610701.0	19811231.0		9.1		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444		74702.0			
4	4		LEMOORE REEVES NAS	36.33	-119.95	73.152				23110	19811231.0	19950101.0		9.1		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444		74702.0			
5	5		LEMOORE REEVES NAS	36.33	-119.95	73.152				23110	19950101.0	99991231.0		9.1		WBAN	0-20500-0-23110	lemoore	16.1	36.3008333	-119.7819444		74702.0			
6	6		SAN JOAQUIN VALLEY	36.31	-119.63	74.0664				53111	19950927.0	99991231.0		27.8		WBAN	0-20500-0-53111	lemoore	16.1	36.3008333	-119.7819444					
7	7		HANFORD MUNI AP	36.32	-119.63	75.8952				53119	19980121.0	99991231.0		28.0		WBAN	0-20500-0-53119	lemoore	16.1	36.3008333	-119.7819444					
