	station_id	WMO_id	station_name	latitude	longitude	start_date	end_date	elevation	isRadio
0	24044		ALLIANCE MUNI AP	0.0	0.0	19441231	19470301	1196.9496000000001	
1	54733		BEVERLY MUNICIPAL AP	0.0	0.0	19810731	19930101	46.6344	
2	54733		BEVERLY MUNICIPAL AP	0.0	0.0	19930101	19950101	32.9184	
3	54733		BEVERLY MUNICIPAL AP	0.0	0.0	19950101	19981209	32.9184	
4	13882		CHATTANOOGA WSO AIRPORT	0.0	0.0	19480801	19480831	210.0072	
5	13882		CHATTANOOGA WSO AIRPORT	0.0	0.0	19480831	19510101	210.0072	
6	4839		HOLLAND TULIP CITY	0.0	0.0	19811130	19930101	211.5312	
7	4839		HOLLAND TULIP CITY	0.0	0.0	19930101	19950101	210.0072	
8	4839		HOLLAND TULIP CITY	0.0	0.0	19950101	19960621	210.0072	
9	13809		LAWRENCEVILLE INT AP	0.0	0.0	19460131	19681001	131.9784	
10	24110		MOSES LAKE GRANT CO	0.0	0.0	19450430	19490301		
11	53884		NEWNAN COWETA COUNTY AIRPORT	0.0	0.0	10101	99991231	295.656	
12	13737		NORFOLK WSO AIRPORT	0.0	0.0	19480101	19480131	11.8872	
13	24023	72562.0	NORTH PLATTE WB ARPT	0.0	0.0	19471201	19471231	850.0872	
14	12972		ROCKPORT ARANSAS CO	0.0	0.0	19810501	19930101	8.8392	
15	12972		ROCKPORT ARANSAS CO	0.0	0.0	19930101	19960229	7.62	
16	25629		TOGIAK	0.0	0.0	19910417	99991231	6.7056000000000004	
17	33601	40948.0	KABUL INTL	34.72	69.22	19570701	99991231	1791.0048000000002	
18	33013		AIN EL	36.38	6.62	19430301	19441231	611.124	
19	33001		AIN MLILA	36.07	6.58	19430301	19430831	770.2296	
20	33005		ALGIERS	36.77	3.05	19430301	19430831	48.1584	
21	33045		ALGIERS	36.77	3.08	19430401	19440531	142.0368	
22	33034		ANNABA	36.83	7.8	19450601	19451031	1.2192	
23	33007		BERTEAUX	32.1	6.45	19430101	19430630	757.1232	
24	33008		BISKRA	34.85	5.77	19430101	19430331	64.00800000000001	
25	33006		BLIDA	36.5	2.82	19421201	19431130	170.07840000000002	
26	33011		CANROBERT	35.87	7.13	19430301	19430430	876.3000000000001	
27	33012		CHATEAUDUN DU RHUMEL	36.17	6.33	19430201	19430831	763.2192	
28	33018		EL GUERRAH	36.13	6.62	19430201	19430930	770.2296	
29	33031		LA SENIA	35.62	0.62	19421101	19451231	88.08720000000001	
30	33016		LE KHROUB	36.3	6.7	19440701	19450831	559.0032	
31	33023		MAISON BLANCHE	36.72	3.23	19430401	19460131	23.1648	
32	33025		MASCARA	35.38	0.12	19430501	19430630		
33	33028		MONTESQUIEU	36.13	7.82	19430401	19430630	932.0784000000001	
34	33029		NAVARIN	36.08	5.8	19430801	19431130	924.1536000000001	
35	33030		NOUVION	35.68	0.18	19430101	19430630	100.2792	
36	33033		ORLEANSVILLE	36.2	-1.32	19430101	19430430	143.256	
37	33002		REGHAIA	36.77	3.4	19430901	19451031	34.1376	
38	33035		RELIZANE	35.75	0.63	19430101	19430630	74.0664	
39	33042		ST DONAT	36.2	5.97	19430301	19430831	860.1456000000001	
40	33043		TAFARAOUI	35.45	-0.53	19421101	19430331	114.30000000000001	
41	33044		TELERGMA	36.12	6.35	19430101	19440630	754.0752	
42	12001		TINDOUF	27.68	-8.15	19430301	19450630	443.17920000000004	
43	61707		CAPE MATATULA OBSRVY	-14.25	-170.57	19751101	99991231	42.062400000000004	
44	61706		PAGO PAGO AMERICAN S	-14.25	-170.57	10101	99991231	706.2216000000001	
45	61704		LEONE BAY AMERICAN S	-14.37	-170.78	19620401	19620731	21.031200000000002	
46	61705		PAGO PAGO WB AP	-14.33	-170.72	19660401	19701001	3.048	
47	61705		PAGO PAGO WSO AIRPORT	-14.33	-170.72	19701001	19820101	3.048	
48	61705		PAGO PAGO WSO AIRPORT	-14.33	-170.72	19820101	19950101	3.048	
49	61705		PAGO PAGO WSO AIRPORT	-14.33	-170.72	19950101	20040401	3.048	
50	61702		TAFUNA AMERICAN SAMO	-14.33	-170.68	19400501	19500531	3.048	
51	61705		PAGO PAGO WSO AIRPORT	-14.33	-170.71	20040401	99991231	3.6576000000000004	
52	73701		AMSTERDAM IS AIR SAM	-37.95	77.53	19830102	19901207	150.2664	
53	87701		ADARE HALLETT	-72.3	170.22	19570201	19690228	5.1816	
54	90001		AMUNDSEN-SCOTT	-90.0	0.0	19570201	99991231		
55	68601		BEARDMORE CAMP	-85.03	-164.67	19570101	19570228	230.12400000000002	
56	88702		BEARDMORE CAMP	-83.4	174.75	19581101	19640228	59.1312	
57	68701		BROCKTON STATION	-80.02	-178.42	19661001	19720131	101.1936	
58	68201		BYRD STATION	-80.02	-119.53	19570101	19841231	1543.2024000000001	
59	57701		EIGHTS	-75.23	-77.17	19611101	19651130	421.2336	
60	57401		ELLSWORTH IGY	-77.73	-41.12	19570301	19621130	43.281600000000005	
61	57201		HALLEY BAY AIR SAMPL	-75.67	-25.5	19830117	99991231	10.0584	
62	87603		HUT POINT	-77.88	166.73	19621001	99991231	26.2128	
63	67601		LITTLE AMERICA	-78.2	-162.25	19560201	19590930	32.004000000000005	
64	88703		LITTLE JEANA STATION	-81.38	170.75	19641001	19660131	54.254400000000004	
65	67401		LITTLE ROCKFORD	-79.25	-147.5	19601001	19620228	651.0528	
66	67402		LITTLE ROCKFORD	-76.27	-147.5	19621001	19650228	591.0072	
67	67501		LITTLE ROCKFORD	-79.58	-152.93	19591001	19600930	52.1208	
68	88701		LIV	-83.28	175.75	19571101	19571130	183.1848	
69	87602		MARBLE POINT	-77.42	163.68	19571201	19590131	48.1584	
70	87601		MCMURDO SOUND NAF	-77.88	166.73	19560301	99991231	24.0792	
71	87604		MCMURDO STN AIR SAMP	-77.83	166.6	19851204	19871028	11.277600000000001	
72	89061	89061.0	PALMER STATION	-64.77	-64.08	19790101	19841231	7.9248	
73	56601		PALMER STN AIR SAMPL	-64.92	-64.0	19830101	99991231	10.0584	
74	77401		PLATEAU STATION	-79.47	40.58	19651201	19681231	3505.2000000000003	
75	57801	89083.0	SIPLE STATION	-75.92	-83.92	19780101	19840131	54.254400000000004	
76	90002		SOUTH POLE OBSERVTRY	-90.0	-24.8	19580101	99991231	2810.2560000000003	
77	76301		SYOWA AIR SAMPLE STN	-69.0	39.58	19860125	99991231	11.277600000000001	
78	86101		WILKES	-66.27	110.57	19570301	19590201	11.277600000000001	
79	86101		WILKES	-66.27	110.57	19590201	19631231	12.192	
80	86102		WILKES ICE CAP STATI	-66.47	112.28	19580301	19581031		
81	11647		ST JOHNS	17.13	-61.78	19570901	99991231	19.2024	
82	11604		ST JOHNS COOLIDGE FI	17.12	-61.78	19411101	19490831	10.0584	
83	52601		TARTAGAL	-22.77	-63.82	19661101	19661231	450.18960000000004	
84	50102		ASCENSION IS AIR SAM	-7.92	-14.42	19830511	99991231	54.254400000000004	
85	50101		ASCENSION ISLAND	-7.97	-14.4	19421001	19950101	83.2104	
86	50101		ASCENSION ISLAND	-7.97	-14.4	19950101	99991231	83.2104	
87	82301		ALICE SPRINGS	-23.63	133.58	19421201	19421231	579.12	
88	82502		AMBERLY	-27.6	152.72	19430201	19450731	27.127200000000002	
89	82501		ARCHER	-27.58	153.02	19430501	19440930	19.2024	
90	83502		BANKSTOWN	-33.8	151.0	19420901	19420930		
91	81304		BATCHELOR FIELD	-13.05	131.07	19430101	19430630	107.28960000000001	
92	82506		BRISBANE	-27.43	153.08	19441001	19460131	2.1336	
93	82507		BRISBANE	-27.45	153.08	19431001	19441031	3.048	
94	81401		CAIRNS	-16.88	145.75	19430101	19450131	2.1336	
95	84401		CAPE GRIM AIR SAMPLE	-40.68	144.68	19840419	99991231	94.1832	
96	82402		CHARLEVILLE	-26.42	146.27	19420701	19430331	300.228	
97	82401		CHARTERS TOWERS	-20.03	146.13	19420601	19441231	299.0088	
98	82403		CLONCURRY	-20.68	140.5	19420601	19441031	188.0616	
99	71901		COCOS ISLAND	-12.2	96.87	19450601	19450731	1.2192	
100	83504		COFFS HARBOUR	-30.32	153.13	19421001	19430228	4.2672	
101	81403		COOKTOWN	-15.45	145.18	19421101	19441130	6.096	
102	81302		DARWIN	-12.43	130.87	19440801	19450131	37.1856	
103	81301		FENTON FIELD	-13.3	131.13	19430301	19441130	131.064	
104	81410		HIGGIN	-10.93	142.48	19440901	19450131	14.020800000000001	
105	81406		HOEVETT	-17.05	145.4	19420601	19440630	443.17920000000004	
106	81404		HORN ISLAND	-10.6	142.3	19420601	19440930	12.192	
107	81405		IRON RANGE	-12.7	143.3	19420901	19441130	18.288	
108	82504		JONDARYAN	-27.25	151.42	19431201	19441231	413.004	
109	81306		KATHERINE	-14.45	132.27	19421201	19430331	108.20400000000001	
110	82404		LONGREACH	-23.45	144.13	19420801	19430731	187.1472	
111	82405		MACKAY	-21.17	149.17	19430401	19450831	8.2296	
112	81411		NORMANTON SITE 8	-17.72	141.13	19640201	19640430	9.144	
113	82101		NORTHWEST CAPE	-22.33	114.05	19430501	19760630	38.1	
114	83101		PERTH	-31.98	115.82	19440101	19440630	4.2672	
115	81412		PRINCESS CHARLOTTE B	-14.4	144.25	19640101	19640731	262.128	
116	81307		RANTYIRRITY POINT	-14.18	135.9	19640401	19640430	8.2296	
117	81407		REID RIVER	-19.77	146.85	19421001	19430331	122.2248	
118	82409		RICHMOND	-20.92	143.38	19640601	19640731	215.18880000000001	
119	82503		ROCKHAMPTON	-23.4	150.5	19430501	19450930	13.1064	
120	83503		SYDNEY	-33.95	151.2	19430901	19450831	4.2672	
121	83405		TOCUMWAL	-35.8	145.6	19420901	19421130	113.08080000000001	
122	82408		TORRENS CREEK	-21.42	145.23	19420901	19421031	396.24	
123	81408		TOWNSVILLE	-19.27	146.75	19430101	19450930	5.1816	
124	83508		WILLIAMTOWN	-32.8	151.8	19420901	19430131	16.154400000000003	
125	81409		WOODSTOCK	-19.6	146.83	19430201	19431031	64.00800000000001	
126	34182		HORSCHING	48.23	14.18	19460601	19490131	301.1424	
127	34166		SALZBURG	47.8	13.0	19450501	19461231	435.25440000000003	
128	34165		VIENNA	48.32	16.13	19460401	19550930	176.17440000000002	
129	13202		HORTA	38.53	-28.63	19431201	19440831	29.260800000000003	
130	13201		LAJES AB	38.73	-27.32	10101	99991231	1016.2032	
131	13204		TERCEIRA	38.82	-27.08	19441101	19450630	53.0352	
132	13205		TERCEIRA IS AIR SAMP	38.75	-27.08	19830517	99991231	30.1752	
133	13203		VILLA DO PORTO	36.97	-25.17	19440701	19460930	101.1936	
134	12703		ABRAHAM BAY	22.35	-72.98	19440601	19451031	3.048	
135	12709		ABRAHAM BAY	22.35	-72.83	19490801	99991231		
136	12713		ELEUTHERA ISLAND	25.27	-76.3	19520201	19710630	10.0584	
137	12712		GOLD ROCK CREEK	26.62	-78.37	19510101	19710630	6.096	
138	12708		GRAND TURK ISLAND	21.5	-71.03	19000701	19630831	3.048	
139	12714		GRAND TURK ISLAND	21.43	-71.13	19541101	19780228	3.048	
140	12704		GREAT EXUMA ISLAND	23.5	-75.75	19450601	19451031	19.2024	
141	12706		GREAT EXUMA ISLAND	23.52	-75.78	19420901	19450630	19.2024	
142	12715		MAYAGUAN	22.37	-73.03	19550101	19571031	21.031200000000002	
143	12710		NASSAU	25.05	-77.33	19390101	19431231		
144	12717		NASSAU AP	25.05	-77.47	19390101	19470228	7.010400000000001	
