level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		ABERDEEN PRVGR	39.5	-76.1667	5.0				74002	1992.0	2017.0	True	5.6		IGRA2	0-20300-0-74002	aberdeen	1.2	39.50944439999999	-76.16444440000002	USM00074002				
1	2		EDGEWOOD	39.4167	-76.3	23.2				93756	1921.0	1923.0	True	12.0		IGRA2	0-20300-0-93756	aberdeen	1.2	39.50944439999999	-76.16444440000002	USW00093756				
0	0	0-20000-0-74002	ABERDEEN PROVING GROUNDS, MD.	39.5	-76.16666666666667		Surface land meteorological station (SYNOP), GOS	39 30 00N	076 10 00W	74002	999.0	999.0	False	5.6		OSCAR	0-20000-0-74002	aberdeen	1.2	39.50944439999999	-76.16444440000002					
0	0		KQAH Aberdeen Proving Ground (operated by US Army), MD	39.46	-76.1	-999.0				74002				5.9		SCHROEDER	0-20600-0-74002	aberdeen	1.2	39.50944439999999	-76.16444440000002		74002.0	2970.0	1918-01-01 00:00:00	2006-09-12 00:00:00
0	0		ABERDEEN PROVING GROUNDS	39.47	-76.17	18.8976				13701	19430101.0	19480801.0		2.2		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
1	1		ABERDEEN PROVING GROUNDS	39.47	-76.17	18.8976				13701	19480801.0	19480831.0		2.2		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
2	2		ABERDEEN PROVING GROUNDS	39.47	-76.17	18.8976				13701	19480831.0	19571201.0		2.2		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
3	3		ABERDEEN	39.47	-76.17	18.8976				13701	19571201.0	19571231.0		2.2		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
4	4		ABERDEEN PROVING GROUNDS	39.47	-76.12	14.020800000000001				13701	19180201.0	19180801.0		4.6		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
5	5		ABERDEEN PROVING GROUNDS	39.47	-76.12	14.020800000000001				13701	19180801.0	19341231.0		4.6		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
6	6		ABERDEEN PROVING GROUNDS	39.47	-76.12	9.144				13701	19351001.0	19421231.0		4.6		WBAN	0-20500-0-13701	aberdeen	1.2	39.50944439999999	-76.16444440000002					
7	7		ABERDEEN PG	39.43	-76.08	4.2672				93763	19890101.0	99991231.0		7.8		WBAN	0-20500-0-93763	aberdeen	1.2	39.50944439999999	-76.16444440000002					
8	8		EDGEWOOD	39.38	-76.3	825.0936				93756	10101.0	99991231.0		13.8		WBAN	0-20500-0-93756	aberdeen	1.2	39.50944439999999	-76.16444440000002					
9	9		BALTIMORE MARTIN FIE	39.33	-76.42	17.0688				93744	19700701.0	19760630.0		25.5		WBAN	0-20500-0-93744	aberdeen	1.2	39.50944439999999	-76.16444440000002					
10	10		BALTIMORE MARTIN FIE	39.33	-76.42	17.0688				93744	19760630.0	19910801.0		25.5		WBAN	0-20500-0-93744	aberdeen	1.2	39.50944439999999	-76.16444440000002					
11	11		BALTIMORE MARTIN FIE	39.33	-76.42	17.0688				93744	19950101.0	99991231.0		25.5		WBAN	0-20500-0-93744	aberdeen	1.2	39.50944439999999	-76.16444440000002					
12	12		BALTIMORE MARTIN FIE	39.33	-76.42	17.0688				93744	19910801.0	19950101.0		25.5		WBAN	0-20500-0-93744	aberdeen	1.2	39.50944439999999	-76.16444440000002					
