level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
1	1		MONROE (SELMAN FIELD)	32.5167	-92.05	30.5				13942	1942.0	1944.0	True	26.4		0-20300-0-13942	IGRA2	west monroe	17.3	32.5183333	-92.1475	USW00013942				
0	0		SHREVEPORT BARKSDALE AFB	32.5	-93.6667	51.2				13944	1933.0	1945.0	True	125.6		0-20300-0-13944	IGRA2	west monroe	17.3	32.5183333	-92.1475	USW00013944				
0	0		(made up station ID) Monroe. LA - SESAME radiosonde site	32.51	-92.04	-999.0				73238				27.3		0-20600-0-73238	SCHROEDER	west monroe	17.3	32.5183333	-92.1475		73238.0	2799.0	1979-04-10 00:00:00	1979-04-10 00:00:00
0	0		RUSTON REGIONAL AIRPORT	32.51	-92.59	94.7928				53958	20021001.0	99991231.0		24.5		0-20500-0-53958	WBAN	west monroe	17.3	32.5183333	-92.1475					
1	1		MONROE REGIONAL AP	32.52	-92.07	24.9936				13942	19371231.0	19411231.0		24.5		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
2	2		MONROE REGIONAL AP	32.52	-92.07	24.9936				13942	19330601.0	19371231.0		24.5		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
3	3		MONROE REGIONAL AP	32.52	-92.05	24.9936				13942	19450101.0	19451001.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
4	4		MONROE REGIONAL AP	32.52	-92.05	24.9936				13942	19421001.0	19450101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
5	5		MONROE FCWOS	32.52	-92.05	23.7744				13942	19950101.0	19980624.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
6	6		MONROE FCWOS	32.52	-92.05	23.7744				13942	19900101.0	19950101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
7	7		MONROE FAA ARPT	32.52	-92.05	28.956000000000003				13942	19600101.0	19650501.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
8	8		MONROE FAA ARPT	32.52	-92.05	28.956000000000003				13942	19500101.0	19600101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
9	9		MONROE REGIONAL AP	32.52	-92.05	24.9936				13942	19420101.0	19421001.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
10	10		MONROE FAA ARPT	32.52	-92.05	24.9936				13942	19451001.0	19451031.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
11	11		MONROE FAA ARPT	32.52	-92.05	23.7744				13942	19881001.0	19900101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
12	12		MONROE FAA ARPT	32.52	-92.05	23.7744				13942	19880101.0	19881001.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
13	13		MONROE FAA ARPT	32.52	-92.05	23.7744				13942	19820101.0	19880101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
14	14		MONROE FAA ARPT	32.52	-92.05	28.956000000000003				13942	19690101.0	19811231.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
15	15		MONROE FAA ARPT	32.52	-92.05	28.956000000000003				13942	19650501.0	19690101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
16	16		MONROE FAA ARPT	32.52	-92.05	24.9936				13942	19451031.0	19500101.0		26.4		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
17	17		MONROE REGIONAL AP	32.52	-92.04	24.0792				13942	19980624.0	99991231.0		27.3		0-20500-0-13942	WBAN	west monroe	17.3	32.5183333	-92.1475					
