"ID";"Project title";"Collection_name";"Original Country or Region";"Original City or Town or Village";"Station Name";"Platform";"Altitude";"Original_Latitude_Units";"Original_Longitude_Units";"Original_Altitude_Units";"Local Gravity";"Last modified";"Original_Location or Relocation";"Start Station Year Month Day";"End Station Year Month Day";"Start Record Year Month Day";"End Record Year Month Day";"WMO Region";"Latitude";"Longitude";"Current Station Name";"WMO_ID";"Network1_name";"Network1_ID";"Network2_name";"Network2_ID";"Country or Region";"City or Town or Village";"Time Resolution";"Observation Times";"Time Reference Meridian, or Other";"Estimated Station Days";"Time Gaps";"Vertical Coordinate";"Significant Levels Y or N";"Variable Name";"Units";"Original Units";"Variable Instrument";"Corrections or Conversions";"Observation Changes";"Type of Access (Public or Restricted)";"Data Owner";"Data Owner Link or contact";"Source";"Type of Initial Source";"Source Link (Images)";"Data Provider";"Data Provider (Link or contact)";"Data series in published databank citation";"State of Data Rescue";"Comments";"Project Status"
"110000001";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"Portugal";"Lisboa";"Lisboa/Geofísico";"P";"95.4";"";"";"meters";"";"2018-09-24 08:50:16.387367+00:00";"";"1853-01-01";"";"1939-09-01";"1944-12-31";"Europe";"38.72";"-9.15";"Lisboa/Geofísico";"8535";"Portuguese_networkNA";"LPLI";"";"";"Portugal";"Lisboa";"daily";"10";"UTC";"1949";"";"altitude";"";"wind_speed";"";"";"pilot_balloon";"";"";"public";"IDL";"mavalente@fc.ul.pt";"Anais do Observatório Central Meteorológico do Infante D. Luiz";"printed";"/ERA-CLIM (FFCUL)/Anais IGIDL/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000002";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"Portugal";"Lisboa";"Lisboa/Geofísico";"P";"95.4";"";"";"meters";"";"2018-09-24 08:50:16.409930+00:00";"";"1853-01-01";"";"1939-09-01";"1944-12-31";"Europe";"38.72";"-9.15";"Lisboa/Geofísico";"8535";"Portuguese_network";"LPLI";"";"";"Portugal";"Lisboa";"daily";"10";"UTC";"1949";"";"altitude";"";"wind_from_direction";"";"";"pilot_balloon";"";"";"public";"IDL";"mavalente@fc.ul.pt";"Anais do Observatório Central Meteorológico do Infante D. Luiz";"printed";"/ERA-CLIM (FFCUL)/Anais IGIDL/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000003";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Baucau";"P";"512.0";"";"";"meters";"";"2018-09-24 08:50:16.421574+00:00";"";"1950-10-01";"";"1950-10-01";"1955-12-31";"South West Pacific";"-8.47";"126.45";"";"97395";"Indonesia_Network_ID";"";"";"";"East Timor";"";"daily";"3";"UTC";"1918";"";"altitude";"";"wind_speed";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000004";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Baucau";"P";"512.0";"";"";"meters";"";"2018-09-24 08:50:16.431526+00:00";"";"1950-10-01";"";"1950-10-01";"1955-12-31";"South West Pacific";"-8.47";"126.45";"";"97395";"Indonesia_Network_ID";"";"";"";"East Timor";"";"daily";"3";"UTC";"1918";"";"altitude";"";"wind_from_direction";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000005";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Bissau";"P";"38.0";"";"";"meters";"";"2018-09-24 08:50:16.443715+00:00";"";"1952-03-01";"1952-12-31";"1952-03-01";"1952-12-31";"Africa";"11.88";"-15.65";"";"61766";"GW_Network";"GGOV";"";"";"Guinea Bissau";"";"daily";"9";"UTC";"306";"";"altitude";"";"wind_speed";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000006";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Bissau";"P";"38.0";"";"";"meters";"";"2018-09-24 08:50:16.453103+00:00";"";"1952-03-01";"1952-12-31";"1952-03-01";"1952-12-31";"Africa";"11.88";"-15.65";"";"61766";"GW_Network";"GGOV";"";"";"Guinea Bissau";"";"daily";"9";"UTC";"306";"";"altitude";"";"wind_from_direction";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000007";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Bissau";"P";"29.0";"";"";"meters";"";"2018-09-24 08:50:16.465781+00:00";"";"1953-01-01";"1953-12-31";"1953-01-01";"1953-12-31";"Africa";"11.87";"-15.63";"";"61766";"GW_Network";"GGOV";"";"";"Guinea Bissau";"";"daily";"9";"UTC";"1825";"";"altitude";"";"wind_speed";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000008";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Bissau";"P";"29.0";"";"";"meters";"";"2018-09-24 08:50:16.476799+00:00";"";"1953-01-01";"1953-12-31";"1953-01-01";"1953-12-31";"Africa";"11.87";"-15.63";"";"61766";"GW_Network";"GGOV";"";"";"Guinea Bissau";"";"daily";"9";"UTC";"1825";"";"altitude";"";"wind_from_direction";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000009";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Dili";"P";"4.0";"";"";"meters";"";"2018-09-24 08:50:16.486842+00:00";"";"1914-01-01";"";"1956-01-01";"1972-12-31";"South West Pacific";"-8.58";"125.58";"";"97390";"Indonesia_Network_ID";"WPEC";"";"";"East Timor";"";"daily";"03 - 1956-1957; 00 - 1960";"UTC";"366";"";"altitude";"";"wind_speed";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
"110000010";"ERA-CLIM2 Portugal";"ERA-CLIM (FFCUL)";"";"";"Dili";"P";"4.0";"";"";"meters";"";"2018-09-24 08:50:16.498595+00:00";"";"1914-01-01";"";"1956-01-01";"1972-12-31";"South West Pacific";"-8.58";"125.58";"";"97390";"Indonesia_Network_ID";"WPEC";"";"";"East Timor";"";"daily";"03 - 1956-1957; 00 - 1960";"UTC";"366";"";"altitude";"";"wind_from_direction";"";"";"pilot_balloon";"";"";"public";"IDL/Instituto_de_Meteorologia";"mavalente@fc.ul.pt";"Anuário Climatológico de Portugal (IV Parte - Territórios Ultramarinos - Observações de Altitude)";"printed";"/ERA-CLIM (FFCUL)/Anais Col%c3%b3nias/";"Maria_Antónia_Valente";"mavalente@fc.ul.pt";"";"Hard copy;Imaged;Digitized Original Format/Units;Digitized formatted/IS units;Quality Control;Assimilated CHUAN";"";"completed"
